Destinatio,Origin,Population,id,iso_n3
Germany,Jordan,"356","1265","400"
Sweden,Jordan,"319","2772","400"
Australia,Jordan,"145","122","400"
Austria,Jordan,"68","205","400"
Switz.,Jordan,"65","2871","400"
UK,Jordan,"59","3141","400"
Cyprus,Jordan,"38","802","400"
Turkey,Jordan,"38","3006","400"
USA,Kazakhstan,"759","3282","398"
France,Kazakhstan,"568","1117","398"
Sweden,Kazakhstan,"260","2773","398"
Czechia,Kazakhstan,"234","838","398"
Canada,Kazakhstan,"156","577","398"
Austria,Kazakhstan,"100","206","398"
Germany,Kazakhstan,"96","1266","398"
Belgium,Kazakhstan,"55","315","398"
Poland,Kazakhstan,"53","2381","398"
Netherlands,Kazakhstan,"41","2104","398"
Ethiopia,Kenya,"3459","999","404"
USA,Kenya,"2021","3283","404"
Canada,Kenya,"469","578","404"
UK,Kenya,"278","3143","404"
Uganda,Kenya,"191","3038","404"
Germany,Kenya,"177","1267","404"
S. Africa,Kenya,"157","2628","404"
Italy,Kenya,"129","1672","404"
Australia,Kenya,"111","124","404"
France,Kenya,"110","1118","404"
UK,Kuwait,"521","3144","414"
USA,Kuwait,"137","3284","414"
France,Kuwait,"95","1119","414"
Canada,Kuwait,"86","579","414"
Greece,Kuwait,"65","1389","414"
Australia,Kuwait,"54","125","414"
Ireland,Kuwait,"46","1581","414"
Germany,Kuwait,"28","1268","414"
Sweden,Kuwait,"23","2775","414"
Indonesia,Kuwait,"11","1527","414"
USA,Kyrgyzstan,"1335","3285","417"
France,Kyrgyzstan,"307","1120","417"
Austria,Kyrgyzstan,"227","208","417"
Turkey,Kyrgyzstan,"178","3007","417"
Sweden,Kyrgyzstan,"176","2776","417"
Germany,Kyrgyzstan,"166","1269","417"
Belgium,Kyrgyzstan,"78","318","417"
Canada,Kyrgyzstan,"67","580","417"
Poland,Kyrgyzstan,"47","2383","417"
Italy,Kyrgyzstan,"46","1673","417"
France,Lao People's Dem. Rep.,"6652","1121","418"
Switz.,Lao People's Dem. Rep.,"127","2875","418"
USA,Lao People's Dem. Rep.,"102","3286","418"
Germany,Lao People's Dem. Rep.,"43","1270","418"
Netherlands,Lao People's Dem. Rep.,"33","2108","418"
Belgium,Lao People's Dem. Rep.,"12","319","418"
Canada,Lao People's Dem. Rep.,"5","581","418"
Canada,Latvia,"78","582","428"
France,Latvia,"33","1122","428"
USA,Latvia,"19","3287","428"
Germany,Latvia,"8","1271","428"
Sweden,Latvia,"5","2777","428"
Uruguay,Latvia,"5","3368","428"
Germany,Lebanon,"1492","1272","422"
Canada,Lebanon,"938","583","422"
Australia,Lebanon,"551","127","422"
Sweden,Lebanon,"528","2778","422"
Brazil,Lebanon,"407","423","422"
USA,Lebanon,"383","3288","422"
Italy,Lebanon,"319","1674","422"
UK,Lebanon,"160","3146","422"
France,Lebanon,"137","1123","422"
Belgium,Lebanon,"120","320","422"
USA,Lesotho,"6","3289","426"
USA,Liberia,"1216","3290","430"
Cote d'Ivoire,Liberia,"899","759","430"
Ghana,Liberia,"735","1346","430"
Sierra Leone,Liberia,"660","2575","430"
Italy,Liberia,"342","1675","430"
Guinea,Liberia,"306","1433","430"
Brazil,Liberia,"259","424","430"
France,Liberia,"234","1124","430"
Angola,Liberia,"155","27","430"
Canada,Liberia,"92","584","430"
Malta,Libya,"2579","1951","434"
UK,Libya,"2505","3148","434"
Germany,Libya,"1542","1274","434"
Canada,Libya,"1220","585","434"
Australia,Libya,"1029","129","434"
Italy,Libya,"995","1676","434"
France,Libya,"622","1125","434"
Sweden,Libya,"400","2780","434"
USA,Libya,"319","3291","434"
Switz.,Libya,"303","2878","434"
Canada,Lithuania,"21","586","440"
USA,Lithuania,"20","3292","440"
France,Lithuania,"9","1126","440"
Belgium,Lithuania,"5","323","440"
