Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2016,SYR,"Syrian Arab Rep.",-,"-",CHE,"Switzerland",574
2016,AFG,"Afghanistan",-,"-",FRA,"France",1
2016,SOM,"Somalia",-,"-",SWE,"Sweden",219
2016,SYR,"Syrian Arab Rep.",-,"-",LTU,"Lithuania",25
2016,COD,"Dem. Rep. of the Congo",-,"-",NOR,"Norway",8
2016,ERI,"Eritrea",-,"-",FIN,"Finland",4
2016,SOM,"Somalia",-,"-",NLD,"Netherlands",3
2016,SDN,"Sudan",-,"-",AUS,"Australia",7
2016,SOM,"Somalia",-,"-",DNK,"Denmark",9
2016,BTN,"Bhutan",-,"-",AUS,"Australia",547
2016,SYR,"Syrian Arab Rep.",-,"-",MCO,"Monaco",6
2016,IRN,"Iran (Islamic Rep. of)",-,"-",SWE,"Sweden",12
2016,BTN,"Bhutan",-,"-",USA,"United States of America",5577
2016,SYR,"Syrian Arab Rep.",-,"-",ESP,"Spain",288
2016,SYR,"Syrian Arab Rep.",-,"-",EST,"Estonia",11
2016,SYR,"Syrian Arab Rep.",-,"-",USA,"United States of America",14880
2016,COD,"Dem. Rep. of the Congo",-,"-",USA,"United States of America",19502
2016,AFG,"Afghanistan",-,"-",CAN,"Canada",282
2016,COD,"Dem. Rep. of the Congo",-,"-",BEL,"Belgium",4
2016,BTN,"Bhutan",-,"-",NOR,"Norway",4
2016,IRQ,"Iraq",-,"-",ITA,"Italy",7
2016,SYR,"Syrian Arab Rep.",-,"-",NZL,"New Zealand",383
2016,MMR,"Myanmar",-,"-",CAN,"Canada",382
2016,COD,"Dem. Rep. of the Congo",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",204
2016,SYR,"Syrian Arab Rep.",-,"-",SWE,"Sweden",700
2016,IRQ,"Iraq",-,"-",FRA,"France",5
2016,SYR,"Syrian Arab Rep.",-,"-",CAN,"Canada",17015
2016,AFG,"Afghanistan",-,"-",FIN,"Finland",130
2016,IRQ,"Iraq",-,"-",CHE,"Switzerland",90
2016,MMR,"Myanmar",-,"-",JPN,"Japan",18
2016,SYR,"Syrian Arab Rep.",-,"-",ITA,"Italy",473
2016,AFG,"Afghanistan",-,"-",AUS,"Australia",912
2016,ERI,"Eritrea",-,"-",DEU,"Germany",20
2016,SOM,"Somalia",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",110
2016,MMR,"Myanmar",-,"-",USA,"United States of America",10933
2016,IRN,"Iran (Islamic Rep. of)",-,"-",NZL,"New Zealand",8
2016,AFG,"Afghanistan",-,"-",NOR,"Norway",207
2016,ERI,"Eritrea",-,"-",NOR,"Norway",7
2016,COD,"Dem. Rep. of the Congo",-,"-",SWE,"Sweden",328
2016,ERI,"Eritrea",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",31
2016,SYR,"Syrian Arab Rep.",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",4271
2016,SYR,"Syrian Arab Rep.",-,"-",AUT,"Austria",80
2016,COD,"Dem. Rep. of the Congo",-,"-",NLD,"Netherlands",26
2016,SDN,"Sudan",-,"-",DNK,"Denmark",5
